iter	Logloss
0	0.6626735851
1	0.6338385424
2	0.608219179
3	0.5867809508
4	0.5645538743
5	0.5456912333
6	0.5284725691
7	0.5126547672
8	0.4980036363
9	0.4857986706
10	0.4730849799
11	0.4613117135
12	0.4503682106
13	0.441202964
14	0.4323830401
15	0.4245311429
16	0.4176365279
17	0.4121915086
18	0.4062506412
19	0.4007747593
20	0.3960197977
21	0.391289411
22	0.3866287511
23	0.3826013204
24	0.3785930724
25	0.3753708381
26	0.3724754702
27	0.3695637293
28	0.3668112001
29	0.3646745005
30	0.3623593056
31	0.3599541337
32	0.3574601166
33	0.3556530211
34	0.3538980221
35	0.3521097186
36	0.3505940416
37	0.3491792856
38	0.3478167252
39	0.3465010601
40	0.3451548957
41	0.3439112876
42	0.3427362929
43	0.3413296779
44	0.3403625748
45	0.339549882
46	0.3386935353
47	0.3375995182
48	0.3365370383
49	0.3355625864
50	0.3345868659
51	0.3337739999
52	0.3331191083
53	0.3323085606
54	0.3318145592
55	0.3310946896
56	0.3303282581
57	0.3295968829
58	0.3289645573
59	0.3281777377
60	0.3275680474
61	0.3270640465
62	0.3262820298
63	0.3256373699
64	0.3250851569
65	0.3246685807
66	0.324142561
67	0.3238026115
68	0.323385969
69	0.3229068636
70	0.3223120384
71	0.3219137137
72	0.3215147487
73	0.3209105277
74	0.3204112592
75	0.3199039138
76	0.3195578513
77	0.3190513421
78	0.3186062746
79	0.3182470283
80	0.3179799924
81	0.3174967094
82	0.3170543325
83	0.3167436217
84	0.316361218
85	0.3159766948
86	0.3155088167
87	0.3152286256
88	0.3148533429
89	0.3145221359
90	0.3141670238
91	0.3138376057
92	0.3134037349
93	0.3131012904
94	0.3125975426
95	0.312160349
96	0.3117708393
97	0.3113461065
98	0.3109872723
99	0.3105942447
100	0.3103300285
101	0.3099853861
102	0.3096768985
103	0.3094238618
104	0.3091349269
105	0.3088792042
106	0.3086028917
107	0.3083058412
108	0.3080055776
109	0.3078279638
110	0.3075092141
111	0.307238099
112	0.3069557645
113	0.3067228851
114	0.3064442712
115	0.3060200842
116	0.3057933156
117	0.3055394051
118	0.305298236
119	0.305142274
120	0.3047811185
121	0.3045196948
122	0.3042424771
123	0.303971984
124	0.3035966983
125	0.3032953575
126	0.3030226167
127	0.3027790348
128	0.3025414662
129	0.3022801529
130	0.3020057064
131	0.3017833334
132	0.3015438214
133	0.30124382
134	0.3009497691
135	0.3005572964
136	0.3003066761
137	0.3000561458
138	0.2997759088
139	0.2995660867
140	0.2992454564
141	0.2991293284
142	0.2989811465
143	0.2987590537
144	0.2984751333
145	0.2982287552
146	0.2978300335
147	0.2976926307
148	0.2975125907
149	0.2970958825
150	0.2969172364
151	0.2966358608
152	0.2963132447
153	0.2961360814
154	0.2959688606
155	0.2956999326
156	0.2954834922
157	0.2952339848
158	0.2950992582
159	0.2948731865
160	0.2945900451
161	0.2943859459
162	0.2941894965
163	0.2939879045
164	0.2937167427
165	0.2935824213
166	0.2933736576
167	0.2931408966
168	0.2929512986
169	0.2926976805
170	0.2924296405
171	0.2922202548
172	0.2920489191
173	0.2917820904
174	0.2916669514
175	0.2914950737
176	0.2913966451
177	0.2912655091
178	0.2910494453
179	0.2908451672
180	0.2905652877
181	0.2903787632
182	0.2900698
183	0.2897493427
184	0.2895437603
185	0.2894405441
186	0.2891959544
187	0.2890447227
